,title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,DATE,bed_bath,lot_finish,age,p_sqft,finishedsqft_rooms,index,adjusted_price,adj_p_sqft,adj_price_m,group,zpid
0,630000,57 Sunnyside St,Boston,MA,02136,630000.0,1456383600000,2016-02-25,9,4.0,4765,9703,1890,MULTI_FAMILY,SOLD,4765.0,16.0,Hyde Park,2016-02-01,2.25,2.0363064008394542,126,132.21406086044072,297.8125,185.020373932098,728015.9321774679,152.78403613378129,0.7280159321774679,low_price_high_freq,59128191
1,599000,29 Tremlett St,Boston,MA,02124,599000.0,1454310000000,2016-02-01,6,3.0,3900,2717,1910,SINGLE_FAMILY,SOLD,3900.0,15.0,South Dorchester,2016-02-01,2.0,0.6966666666666667,106,153.5897435897436,260.0,185.020373932098,692192.9259909575,177.48536563870707,0.6921929259909575,low_price_high_freq,59107688
2,550000,59 Armandine St,Dorchester Center,MA,02124,550000.0,1456729200000,2016-02-29,10,7.0,3600,3484,1920,MULTI_FAMILY,SOLD,3600.0,17.0,South Dorchester,2016-02-01,1.4285714285714286,0.9677777777777777,96,152.77777777777777,211.76470588235293,185.020373932098,635569.4645993767,176.54707349982684,0.6355694645993767,low_price_high_freq,2128902346
3,1321000,27 Shannon St,Boston,MA,02135,1321000.0,1456210800000,2016-02-23,6,5.0,2900,3920,1930,MULTI_FAMILY,SOLD,2900.0,11.0,Brighton,2016-02-01,1.2,1.3517241379310345,86,455.51724137931035,263.6363636363636,185.020373932098,1526522.2958832302,526.3869985804242,1.52652229588323,low_price_high_freq,2122347365
4,1788000,103 Myrtle St,Boston,MA,02114,1788000.0,1455865200000,2016-02-19,3,4.0,2400,675,1890,MULTI_FAMILY,SOLD,2400.0,10.0,Beacon Hill,2016-02-01,0.75,0.28125,126,745.0,240.0,185.020373932098,2066178.5503703374,860.9077293209739,2.0661785503703376,low_freq,59173626
5,545000,16 Jewett St,Boston,MA,02131,545000.0,1455868800000,2016-02-19,5,4.0,2134,6534,1915,MULTI_FAMILY,SOLD,2134.0,10.0,Roslindale,2016-02-01,1.25,3.0618556701030926,101,255.38894095595126,213.4,185.020373932098,629791.560375746,295.1225681235923,0.629791560375746,low_price_high_freq,59141374
6,2615,1 Longfellow Pl,Boston,MA,02114,2615.0,1455240600000,2016-02-12,0,1.0,650,302174,1976,MULTI_FAMILY,SOLD,949.0,3.0,West End,2016-02-01,0.0,318.41306638566914,40,2.755532139093783,316.3333333333333,185.020373932098,3021.8439089588546,3.1842401569640195,0.0030218439089588546,low_freq,2098812523
7,1350000,26 S Huntington Ave,Jamaica Plain,MA,02130,1350000.0,1454310000000,2016-02-01,3,1.0,1000,99999,1920,MULTI_FAMILY,SOLD,1000.0,15.0,Jamaica Plain,2016-02-01,3.0,99.999,96,1350.0,66.66666666666667,185.020373932098,1560034.1403802882,1560.0341403802881,1.5600341403802882,low_price_high_freq,59168349
8,345000,1714 Commonwealth Ave APT 2,Boston,MA,02135,345000.0,1456470000000,2016-02-26,2,1.0,767,99999,1920,CONDO,SOLD,767.0,4.0,Brighton,2016-02-01,2.0,130.3767926988266,96,449.8044328552803,191.75,185.020373932098,398675.3914305181,519.785386480467,0.3986753914305181,low_price_high_freq,59093377
9,$3.32M,2 Commonwealth Ave APT 15D,Boston,MA,02116,3320000.0,1456387200000,2016-02-25,1,2.0,1125,18604,1982,CONDO,FOR_SALE,1125.0,3.0,Back Bay,2016-02-01,0.5,16.53688888888889,34,2951.1111111111113,375.0,185.020373932098,3836528.404490783,3410.2474706584735,3.836528404490783,high_price_high_freq,59176250
10,1045000,155 Bellevue St,Boston,MA,02132,1045000.0,1456747200000,2016-02-29,4,3.0,2972,16952,1820,SINGLE_FAMILY,SOLD,2972.0,9.0,West Roxbury,2016-02-01,1.3333333333333333,5.703903095558546,196,351.6150740242261,330.22222222222223,185.020373932098,1207581.9827388157,406.3196442593593,1.2075819827388157,low_price_high_freq,59157386
11,860000,2417 Centre St,Boston,MA,02132,860000.0,1456732800000,2016-02-29,4,3.0,2800,10890,2015,SINGLE_FAMILY,SOLD,2800.0,7.0,West Roxbury,2016-02-01,1.3333333333333333,3.8892857142857142,1,307.14285714285717,400.0,185.020373932098,993799.52646448,354.9284023087429,0.99379952646448,low_price_high_freq,59160181
12,540000,3 Rundel Park,Boston,MA,02124,540000.0,1455192000000,2016-02-11,6,3.0,3322,10018,1892,SINGLE_FAMILY,SOLD,3322.0,14.0,South Dorchester,2016-02-01,2.0,3.015653220951234,124,162.5526791089705,237.28571428571428,185.020373932098,624013.6561521153,187.8427622372412,0.6240136561521153,low_price_high_freq,59115816
13,637000,7 Parkside Dr,Boston,MA,02130,637000.0,1455433200000,2016-02-14,4,2.5,3392,9198,1967,SINGLE_FAMILY,SOLD,3392.0,8.0,Jamaica Plain,2016-02-01,1.6,2.7116745283018866,49,187.79481132075472,424.0,185.020373932098,736104.9980905509,217.01208670122372,0.7361049980905509,low_price_high_freq,59134970
14,4100000,2 Avery St APT 19E,Boston,MA,02111,4100000.0,1455174000000,2016-02-11,4,3.5,3263,3246,2001,CONDO,SOLD,3263.0,7.0,Chinatown,2016-02-01,1.1428571428571428,0.9947900704872816,15,1256.512411890898,466.14285714285717,185.020373932098,4737881.463377172,1452.0016743417627,4.737881463377172,low_freq,61319838
15,3895000,400 Stuart St # 21E,Boston,MA,02116,3895000.0,1456261200000,2016-02-23,3,3.5,1957,1957,2009,CONDO,SOLD,1957.0,5.0,Back Bay,2016-02-01,0.8571428571428571,1.0,7,1990.2912621359224,391.4,185.020373932098,4500987.390208313,2299.9424579500833,4.500987390208313,high_price_high_freq,102987498
16,2532000,220 Boylston St APT 9011,Boston,MA,02116,2532000.0,1454290200000,2016-02-01,2,2.0,1266,1266,1985,CONDO,SOLD,1266.0,4.0,Back Bay,2016-02-01,1.0,1.0,31,2000.0,316.5,185.020373932098,2925930.698846585,2311.161689452279,2.925930698846585,high_price_high_freq,59176090
17,1950,298 W 5th St # 1,Boston,MA,02127,1950.0,1456297200000,2016-02-24,1,1.0,687,687,1987,CONDO,SOLD,687.0,3.0,South Boston,2016-02-01,1.0,1.0,29,2.8384279475982535,229.0,185.020373932098,2253.382647215972,3.2800329653798723,0.002253382647215972,low_price_high_freq,117686264
18,1975,77 Appleton St # 1,Boston,MA,02116,1975.0,1455951600000,2016-02-20,0,1.0,572,572,1860,CONDO,SOLD,572.0,2.0,South End,2016-02-01,0.0,1.0,156,3.452797202797203,286.0,185.020373932098,2282.2721683341256,3.9899863082764435,0.0022822721683341254,high_price_high_freq,59164919
19,2150,38 Custer St # 3,Boston,MA,02130,2150.0,1454310000000,2016-02-01,2,1.0,1025,1025,1920,MULTI_FAMILY,SOLD,1025.0,4.0,Jamaica Plain,2016-02-01,2.0,1.0,96,2.097560975609756,256.25,185.020373932098,2484.4988161612,2.423901284059707,0.0024844988161612,low_price_high_freq,59130777
20,2700,4 M Street Pl,Boston,MA,02127,2700.0,1454655600000,2016-02-05,3,1.0,1100,954,1900,SINGLE_FAMILY,SOLD,1100.0,6.0,South Boston,2016-02-01,3.0,0.8672727272727273,116,2.4545454545454546,183.33333333333334,185.020373932098,3120.0682807605767,2.8364257097823424,0.003120068280760577,low_price_high_freq,59150507
21,2800,24 Worcester Sq APT 4,Boston,MA,02118,2800.0,1455519600000,2016-02-15,2,1.0,831,831,1910,CONDO,SOLD,831.0,4.0,South End,2016-02-01,2.0,1.0,106,3.3694344163658245,207.75,185.020373932098,3235.6263652331904,3.8936538691133458,0.0032356263652331906,high_price_high_freq,59183587
22,2800,231 W Canton St APT 2,Boston,MA,02116,2800.0,1455260400000,2016-02-12,1,1.0,520,435,1860,MULTI_FAMILY,SOLD,520.0,3.0,Back Bay,2016-02-01,1.0,0.8365384615384616,156,5.384615384615385,173.33333333333334,185.020373932098,3235.6263652331904,6.222358394679213,0.0032356263652331906,high_price_high_freq,59170971
23,4000,461 Beacon St APT 2,Boston,MA,02115,4000.0,1454310000000,2016-02-01,2,2.5,1178,1178,1880,MULTI_FAMILY,SOLD,1178.0,4.0,Back Bay,2016-02-01,0.8,1.0,136,3.395585738539898,294.5,185.020373932098,4622.323378904558,3.9238738360819676,0.004622323378904558,high_price_high_freq,59169256
24,4200,Upton Street Condominiums,Boston,MA,02118,4200.0,1455105600000,2016-02-10,2,2.0,1250,1200,1899,MULTI_FAMILY,SOLD,1200.0,4.0,South End,2016-02-01,1.0,1.0,117,3.5,300.0,185.020373932098,4853.439547849785,4.044532956541488,0.004853439547849786,high_price_high_freq,59183929
25,849000,137 Orleans St,Boston,MA,02128,849000.0,1454572800000,2016-02-04,9,3.0,3657,2917,1904,MULTI_FAMILY,SOLD,3657.0,17.0,East Boston,2016-02-01,3.0,0.7976483456385015,112,232.1575061525841,215.11764705882354,185.020373932098,981088.1371724923,268.27676706931703,0.9810881371724923,low_price_high_freq,59122617
26,525000,112 Brunswick St,Boston,MA,02121,525000.0,1455886800000,2016-02-19,8,3.0,3735,2613,1890,MULTI_FAMILY,SOLD,3735.0,17.0,Roxbury,2016-02-01,2.6666666666666665,0.6995983935742972,126,140.56224899598394,219.7058823529412,185.020373932098,606679.9434812232,162.43104243138507,0.6066799434812232,low_price_high_freq,59213378
27,759000,27 Farquhar St,Boston,MA,02131,759000.0,1456228800000,2016-02-23,8,3.0,3612,5227,1900,MULTI_FAMILY,SOLD,3612.0,17.0,Roslindale,2016-02-01,2.6666666666666665,1.4471207087486158,116,210.1328903654485,212.47058823529412,185.020373932098,877085.8611471399,242.82554295325025,0.8770858611471399,low_price_high_freq,59142602
28,1000000,268 Chestnut Ave,Boston,MA,02130,1000000.0,1455692400000,2016-02-17,8,3.0,2944,5227,1850,MULTI_FAMILY,SOLD,2944.0,14.0,Jamaica Plain,2016-02-01,2.6666666666666665,1.775475543478261,166,339.67391304347825,210.28571428571428,185.020373932098,1155580.8447261394,392.52066736621583,1.1555808447261395,low_price_high_freq,59133292
29,442500,689 Washington St,Boston,MA,02111,442500.0,1454400000000,2016-02-02,8,3.0,3228,1742,1890,MULTI_FAMILY,SOLD,3228.0,14.0,South Dorchester,2016-02-01,2.6666666666666665,0.5396530359355638,126,137.0817843866171,230.57142857142858,185.020373932098,511344.5237913167,158.4090841980535,0.5113445237913167,low_price_high_freq,59110484
