title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,zpid
630000,57 Sunnyside St,Boston,MA,02136,630000,1456383600000,2/25/16,9,4,4765,9703,1890,MULTI_FAMILY,SOLD,4765,16,Hyde Park,59128191
685000,26 Crawford St,Boston,MA,02121,685000,1511269200000,11/21/17,9,3,4760,12632,1900,MULTI_FAMILY,RECENTLY_SOLD,4760,15,Roxbury,59213256
1725000,10 Roanoke Ave,Boston,MA,02130,1725000,1533322800000,8/3/18,6,3,4757,14374,1852,SINGLE_FAMILY,RECENTLY_SOLD,4757,17,Jamaica Plain,59133846
1365000,723 Washington St,Boston,MA,02111,1365000,1485792000000,1/30/17,5,2.5,4726,9147,1925,MULTI_FAMILY,SOLD,4726,11,Brighton,59096637
1950000,154 Moss Hill Rd,Boston,MA,02130,1950000,1524250800000,4/20/18,6,4.5,4719,24829,1930,SINGLE_FAMILY,RECENTLY_SOLD,4719,11,Jamaica Plain,59131319
550000,128 Hancock St,Boston,MA,02125,550000,1463385600000,5/16/16,12,3,4716,6265,1905,MULTI_FAMILY,SOLD,4716,18,North Dorchester,59108569
4200000,174 W Canton St,Boston,MA,02116,4200000,1450146600000,12/15/15,5,3,4710,2184,1866,SINGLE_FAMILY,SOLD,4710,15,South End,59172624
$10.5M,2 Avery St PENTHOUSE 2A,Boston,MA,02111,10500000,1518469200000,2/12/18,5,5.5,4703,4703,2000,CONDO,FOR_SALE,4703,9,Chinatown,61319986
1500000,202 Allandale St # B,Boston,MA,02131,1500000,1518642000000,2/14/18,4,6,4700,1873080,1994,TOWNHOUSE,RECENTLY_SOLD,4700,10,West Roxbury,59141320
4270000,345 Beacon St,Boston,MA,02116,4270000,1472842800000,9/2/16,5,4.5,4675,1742,1873,SINGLE_FAMILY,SOLD,4675,12,Back Bay,59170196
725000,29 Wabon St,Boston,MA,02121,725000,1510923600000,11/17/17,12,3,4671,3787,1900,MULTI_FAMILY,RECENTLY_SOLD,4671,18,Roxbury,59112289
915000,37 Mill St,Boston,MA,02122,915000,1498849200000,6/30/17,7,3,4670,24340,1848,MULTI_FAMILY,SOLD,4670,14,South Dorchester,59107411
470000,328 Beech St,Boston,MA,02131,470000,1504857600000,9/8/17,5,2,4665,4665,1920,SINGLE_FAMILY,SOLD,4665,11,Roslindale,59144364
1205000,29 Brookside Ave,Boston,MA,02130,1205000,1473451200000,9/9/16,8,4,4663,7840,1910,MULTI_FAMILY,SOLD,4663,18,Jamaica Plain,59133336
400000,79 W Milton St,Boston,MA,02136,400000,1459733400000,4/4/16,9,4.5,4649,10454,1899,SINGLE_FAMILY,SOLD,4794,8,Hyde Park,246886479
1555000,216 Almont St # B,Mattapan,MA,02126,1555000,1523516400000,4/12/18,4,3.5,4643,6759,1994,CONDO,RECENTLY_SOLD,4643,12,West Roxbury,59210532
1399000,14 Rockview St,Boston,MA,02130,1399000,1534345200000,8/15/18,8,8,4633,11296,2015,MULTI_FAMILY,RECENTLY_SOLD,4633,16,Jamaica Plain,190073425
1585000,146 Sutherland Rd,Boston,MA,02135,1585000,1503662400000,8/25/17,12,3,4626,2178,1900,MULTI_FAMILY,SOLD,4626,20,Brighton,59093247
689000,46 Lamson St,Boston,MA,02128,689000,1532070000000,7/20/18,9,6,4617,1425,2015,MULTI_FAMILY,RECENTLY_SOLD,4617,15,East Boston,59122758
195000,41 Angell St,Boston,MA,02124,195000,1507057200000,10/3/17,8,2.5,4607,6875,1890,MULTI_FAMILY,SOLD,4607,14,Mattapan,59114494
1875000,38 Mead St,Boston,MA,02129,1875000,1495551600000,5/23/17,10,4.5,4605,3484,1920,MULTI_FAMILY,SOLD,4605,,Charlestown,2112494371
965000,45 Bullard St,Boston,MA,02121,965000,1507230000000,10/5/17,12,3,4601,3920,1910,MULTI_FAMILY,SOLD,4601,18,South Dorchester,59108081
$1.10M,70 Draper St,Boston,MA,02122,1100000,1471849200000,8/22/16,9,3,4590,3920,1905,MULTI_FAMILY,FOR_SALE,4590,18,South Dorchester,59109853
890000,168 Leyden St,Boston,MA,02128,890000,1506499200000,9/27/17,4,1,4590,2613,1890,APARTMENT,SOLD,4590,14,East Boston,59120573
855000,15 Crawford St,Boston,MA,02121,855000,1526670000000,5/18/18,12,3,4581,4356,1930,MULTI_FAMILY,RECENTLY_SOLD,4581,21,Roxbury,90139727
650000,19 York St,Boston,MA,02121,650000,1514552400000,12/29/17,8,4,4568,4791,1900,MULTI_FAMILY,RECENTLY_SOLD,4568,15,Roxbury,59111485
642000,38 Clive St,Boston,MA,02130,642000,1498651200000,6/28/17,8,3,4563,4563,1905,SINGLE_FAMILY,SOLD,4563,18,Jamaica Plain,59132291
650000,1488 Hyde Park Ave,Boston,MA,02136,650000,1501848000000,8/4/17,9,3,4560,5125,1905,MULTI_FAMILY,SOLD,4560,15,Hyde Park,59128347
530000,28 Brookledge St,Boston,MA,02121,530000,1483061400000,12/30/16,6,4,4553,8276,1935,MULTI_FAMILY,SOLD,4553,18,Roxbury,59115713
500000,155 Ruthven St,Boston,MA,02121,500000,1505376000000,9/14/17,9,3,4551,8254,1900,MULTI_FAMILY,SOLD,4551,15,Roxbury,59115462
675000,72 Wildwood St,Boston,MA,02126,675000,1508155200000,10/16/17,11,3,4548,3484,1905,MULTI_FAMILY,SOLD,4548,17,Mattapan,59139428
513188,64 Cheney St,Boston,MA,02121,513188,1483167600000,12/31/16,6,3,4541,9147,1935,MULTI_FAMILY,SOLD,4541,15,Roxbury,59115335
